id,category
18,"Kontor, administration, regnskab og finans"
13,"Landbrug, skovbrug, gartneri, fiskeri og dyrepleje"
1,"Hotel, restauration, køkken, kantine"
2,"Træ, møbel, glas og keramik"
16,"Sundhed, omsorg og personlig pleje"
21,Elever
19,Ledelse
17,"Jern, metal og auto"
8,"Nærings- og nydelsesmiddel"
22,"Akademisk arbejde"
20,"Bygge og anlæg"
12,"Industriel produktion"
5,"It og teleteknik"
4,"Design, formgivning og grafisk arbejde"
9,"Pædagogisk, socialt og kirkeligt arbejde"
14,"Transport, post, lager- og maskinførerarbejde"
7,"Salg, indkøb og markedsføring"
11,"Undervisning og vejledning"
15,"Medie, kultur, turisme, idræt og underholdning"
6,"Rengøring, ejendomsservice og renovation"
10,"Tekstil og beklædning"
3,"Vagt, sikkerhed og overvågning"
